gamma,gamma_hpd_2.5,gamma_hpd_97.5,gamma_mu,gamma_mu_hpd_2.5,gamma_mu_hpd_97.5,group,s,s_hpd_2.5,s_hpd_97.5,s_mu,s_mu_hpd_2.5,s_mu_hpd_97.5,subject,t0,t0_hpd_2.5,t0_hpd_97.5,tau,tau_hpd_2.5,tau_hpd_97.5,tau_mu,tau_mu_hpd_2.5,tau_mu_hpd_97.5,v,v_hpd_2.5,v_hpd_97.5,v_mu,v_mu_hpd_2.5,v_mu_hpd_97.5
0.211,0.06556111987969837,0.4146294905277257,0.19492622136141743,0.08564017818716652,0.3177483110457002,group2,0.24,0.20533499390142512,0.27284168794329106,0.2532946193771888,0.22113420846757936,0.2848081644977018,14,0.0,0.0,0.0,1.195,0.5717041056485932,2.3039752581314383,0.8909446885223646,0.4896843098741002,1.3773762904101992,0.208,0.16851660437226346,0.2552418632938486,0.6954810127013846,0.4567008455797704,0.9353225514565731
-0.458,-0.5889224884562774,-0.34435272331438904,-0.3978502694235593,-0.6304735040439733,-0.15650957488019324,group3,0.325,0.277159525481948,0.3712912534649334,0.25708611487480115,0.2286712168227267,0.2860899557573045,15,0.0,0.0,0.0,1.104,0.7595264815368208,1.9639850024101013,0.9605700982950369,0.6701223912793607,1.3014935387495759,0.907,0.7787855352802537,1.0253667285814012,0.6147571751166702,0.46849550327387,0.7739182545093062
-0.955,-1.282624747449748,-0.6724514062840594,-0.3978502694235593,-0.6304735040439733,-0.15650957488019324,group3,0.202,0.1659579351129438,0.23902435982311646,0.25708611487480115,0.2286712168227267,0.2860899557573045,16,0.0,0.0,0.0,0.744,0.32195428467669907,1.382697188604056,0.9605700982950369,0.6701223912793607,1.3014935387495759,0.221,0.17537311234773525,0.2842166304054834,0.6147571751166702,0.46849550327387,0.7739182545093062
-0.4,-0.6049864640036708,-0.2468070050005169,-0.3978502694235593,-0.6304735040439733,-0.15650957488019324,group3,0.303,0.25652612018479687,0.3549949088958111,0.25708611487480115,0.2286712168227267,0.2860899557573045,17,0.0,0.0,0.0,1.011,0.5103038573256329,2.023987400206235,0.9605700982950369,0.6701223912793607,1.3014935387495759,0.623,0.5283488466406071,0.7513389868507948,0.6147571751166702,0.46849550327387,0.7739182545093062
0.323,0.2032729553929875,0.5393277936386167,-0.3978502694235593,-0.6304735040439733,-0.15650957488019324,group3,0.292,0.24059828256820764,0.33025401610256816,0.25708611487480115,0.2286712168227267,0.2860899557573045,18,0.0,0.0,0.0,0.803,0.5174885433669693,1.4595619803382158,0.9605700982950369,0.6701223912793607,1.3014935387495759,0.634,0.5443945206770102,0.7369751156632528,0.6147571751166702,0.46849550327387,0.7739182545093062
-0.072,-0.24835176379769486,0.1557692499083938,-0.3978502694235593,-0.6304735040439733,-0.15650957488019324,group3,0.26,0.2073133871829248,0.3016201438921174,0.25708611487480115,0.2286712168227267,0.2860899557573045,19,0.0,0.0,0.0,0.618,0.2908896133826854,1.0490444065445308,0.9605700982950369,0.6701223912793607,1.3014935387495759,0.739,0.6462256934882892,0.8743197151263096,0.6147571751166702,0.46849550327387,0.7739182545093062
-0.153,-0.23561855348963867,-0.015509467229928076,-0.3978502694235593,-0.6304735040439733,-0.15650957488019324,group3,0.21,0.17123716556215893,0.2517846743693187,0.25708611487480115,0.2286712168227267,0.2860899557573045,20,0.0,0.0,0.0,1.131,0.633564559723422,2.0339446163734483,0.9605700982950369,0.6701223912793607,1.3014935387495759,0.417,0.3608926364809177,0.47443646485894303,0.6147571751166702,0.46849550327387,0.7739182545093062
-0.499,-0.6674718522872933,-0.19335244913331717,-0.3978502694235593,-0.6304735040439733,-0.15650957488019324,group3,0.207,0.17299416619795854,0.2433373680110914,0.25708611487480115,0.2286712168227267,0.2860899557573045,21,0.0,0.0,0.0,0.797,0.5298355878168263,1.655709407526321,0.9605700982950369,0.6701223912793607,1.3014935387495759,0.274,0.22585590375118003,0.32350734156113853,0.6147571751166702,0.46849550327387,0.7739182545093062
-0.227,-0.5479887773301757,0.06962289044439807,-0.3978502694235593,-0.6304735040439733,-0.15650957488019324,group3,0.28,0.23530797188212407,0.32812515697020067,0.25708611487480115,0.2286712168227267,0.2860899557573045,22,0.0,0.0,0.0,0.646,0.3082319280083838,1.410025575756646,0.9605700982950369,0.6701223912793607,1.3014935387495759,0.38,0.2926777387150188,0.4579670906055438,0.6147571751166702,0.46849550327387,0.7739182545093062
-0.563,-0.7291607123073895,-0.32291452286501654,-0.3978502694235593,-0.6304735040439733,-0.15650957488019324,group3,0.276,0.23517870962080237,0.3244373240385105,0.25708611487480115,0.2286712168227267,0.2860899557573045,23,0.0,0.0,0.0,1.118,0.6263397926184542,1.9354484145000548,0.9605700982950369,0.6701223912793607,1.3014935387495759,0.631,0.5301679489527529,0.7310566984546775,0.6147571751166702,0.46849550327387,0.7739182545093062
-0.348,-0.5050344395414499,-0.1053344133411922,-0.3978502694235593,-0.6304735040439733,-0.15650957488019324,group3,0.263,0.2164029976906427,0.3069820580946816,0.25708611487480115,0.2286712168227267,0.2860899557573045,24,0.0,0.0,0.0,0.592,0.29050682767093267,1.2613750863089717,0.9605700982950369,0.6701223912793607,1.3014935387495759,0.609,0.5132641892581058,0.7136664443256083,0.6147571751166702,0.46849550327387,0.7739182545093062
-0.308,-0.4335422544890104,-0.11772156891950991,-0.3978502694235593,-0.6304735040439733,-0.15650957488019324,group3,0.217,0.17289969010119266,0.27400812721370876,0.25708611487480115,0.2286712168227267,0.2860899557573045,25,0.0,0.0,0.0,0.322,0.18933971081167636,0.5849586989784114,0.9605700982950369,0.6701223912793607,1.3014935387495759,1.245,1.1182420014328824,1.3868571672006706,0.6147571751166702,0.46849550327387,0.7739182545093062
0.043,-0.08494035883898299,0.24469603766497627,-0.3978502694235593,-0.6304735040439733,-0.15650957488019324,group3,0.273,0.23387243411222722,0.3249511105642278,0.25708611487480115,0.2286712168227267,0.2860899557573045,26,0.0,0.0,0.0,0.778,0.44818432122781476,1.60261401466003,0.9605700982950369,0.6701223912793607,1.3014935387495759,0.611,0.5208378847954006,0.71086218228351,0.6147571751166702,0.46849550327387,0.7739182545093062
-0.826,-1.0219218635082998,-0.7088683232086828,-0.3978502694235593,-0.6304735040439733,-0.15650957488019324,group3,0.237,0.19314721386661132,0.2797694744166675,0.25708611487480115,0.2286712168227267,0.2860899557573045,27,0.0,0.0,0.0,0.969,0.5733129709741259,1.6997172224480075,0.9605700982950369,0.6701223912793607,1.3014935387495759,0.757,0.6533765009311854,0.8910871116112227,0.6147571751166702,0.46849550327387,0.7739182545093062
-0.726,-0.9424464822925758,-0.616786222649462,-0.3978502694235593,-0.6304735040439733,-0.15650957488019324,group3,0.252,0.20563072164737053,0.2962153029326822,0.25708611487480115,0.2286712168227267,0.2860899557573045,28,0.0,0.0,0.0,1.085,0.6925592326043367,1.8432171524980523,0.9605700982950369,0.6701223912793607,1.3014935387495759,0.506,0.4230100440401804,0.5937978918983756,0.6147571751166702,0.46849550327387,0.7739182545093062
-1.035,-1.3820578286338687,-0.764526879416954,-0.3978502694235593,-0.6304735040439733,-0.15650957488019324,group3,0.256,0.2016164147026455,0.31530329693740955,0.25708611487480115,0.2286712168227267,0.2860899557573045,29,0.0,0.0,0.0,0.671,0.319314557257936,1.0841616511352028,0.9605700982950369,0.6701223912793607,1.3014935387495759,0.599,0.4869980893591432,0.7030536582884319,0.6147571751166702,0.46849550327387,0.7739182545093062
