gamma,gamma_hpd_2.5,gamma_hpd_97.5,s,s_hpd_2.5,s_hpd_97.5,subject,t0,t0_hpd_2.5,t0_hpd_97.5,tau,tau_hpd_2.5,tau_hpd_97.5,v,v_hpd_2.5,v_hpd_97.5
0.131,-0.8725973147853399,0.9974659369677257,0.348,0.3237050613804471,0.3743902785674105,11,0.0,0.0,0.0,0.331,0.0005279302047540272,9.194265025410566,0.043,0.016223791053883295,0.08732575462407759
0.494,0.3853428836204156,0.6129101628824505,0.248,0.2250714617020431,0.27705366280439986,12,0.0,0.0,0.0,0.616,0.4186031675418107,0.8108859315031802,0.64,0.5844765830187633,0.6895326094423349
-0.219,-0.3214335773988144,-0.12676254641187068,0.277,0.25080771550070036,0.3031315723535575,13,0.0,0.0,0.0,0.911,0.608514855922068,1.338803907526744,0.488,0.44859880843127103,0.5480945647369393
0.146,0.09223877557354765,0.19658305341993643,0.318,0.28641977228390386,0.3462566884085438,14,0.0,0.0,0.0,1.366,0.9926704463555389,2.2389370081181523,0.803,0.7490830205347838,0.8876441283106193
-0.389,-0.5025291721769087,-0.31042527840872314,0.254,0.23183072128626037,0.2762179025117897,15,0.0,0.0,0.0,1.169,0.7660011009883015,1.6230703145395062,0.356,0.3175884469915283,0.3907969212929405
0.062,0.025757734732422044,0.13898856737735743,0.277,0.25020811843129387,0.3006305796986721,16,0.0,0.0,0.0,1.786,1.4420472303604805,3.213027917722288,0.555,0.505279302442532,0.5891348361766541
-0.45,-0.6798366529854667,-0.2932024466941203,0.307,0.2754406328515553,0.3344613924966877,17,0.0,0.0,0.0,0.727,0.4994425698751882,1.1492090647930446,0.448,0.39504575212331167,0.5049880239470468
0.517,0.4344997722192918,0.6315012691553665,0.369,0.34323595501766474,0.40526806574319996,18,0.0,0.0,0.0,1.591,0.9108633735015171,2.4694841514924026,0.615,0.5568637286466639,0.683359796455929
0.369,0.2794109079208882,0.4388675722894888,0.148,0.13773011379107272,0.16459982665816147,19,0.0,0.0,0.0,0.291,0.23330266850431436,0.3519214876415297,0.875,0.8326820794586687,0.9029350540937111
0.1,0.007116290219501664,0.21888601983376166,0.162,0.14800262061684138,0.1821483069900169,20,0.0,0.0,0.0,0.535,0.3949839560559559,0.7228899887953443,0.343,0.31964295456824454,0.3708334221648375
-0.21,-0.2554681478285028,-0.1505979124558241,0.218,0.19723925362629902,0.24348201496875146,21,0.0,0.0,0.0,1.163,0.8351100476498086,1.4686240437262774,0.917,0.8745409526178234,0.9852425782214677
0.634,0.5715404879030093,0.6986123303508056,0.252,0.2285046454689856,0.2815427819355679,22,0.0,0.0,0.0,1.378,0.8513222601831834,1.9834872870228386,0.855,0.7984264977147025,0.9238938426308466
0.906,0.8450139301359418,0.9998256678763071,0.275,0.2507392373724181,0.30436639481229044,23,0.0,0.0,0.0,0.607,0.4795345954245412,0.8797623139577498,0.809,0.750726660092371,0.8702360927932077
-0.571,-0.6201542826965523,-0.5153601187045092,0.25,0.2241122729569789,0.2752189528636335,24,0.0,0.0,0.0,1.39,1.0052318181821223,1.8252669319380777,0.926,0.8682620647653322,0.990392890292781
0.591,0.5277731531457981,0.6343359441698921,0.14,0.12694932515557553,0.15686470099381167,25,0.0,0.0,0.0,0.878,0.663679292503994,1.188845123904567,0.436,0.41082997017507844,0.46429370216261606
0.721,0.6250865307358371,0.8063441461458067,0.22,0.20431752869541658,0.24815267676018124,26,0.0,0.0,0.0,0.887,0.66414438691826,1.2396066653791078,0.592,0.5606402800238022,0.6455513655217383
0.211,0.08942688003171684,0.3153047126395472,0.323,0.29374557773748383,0.35383959998033493,27,0.0,0.0,0.0,0.905,0.5011274020660392,2.7317050393237934,0.395,0.33087392176260394,0.452531978848555
-0.35,-0.42754992776976275,-0.27845545160678054,0.26,0.2362229528476487,0.2845490114261196,28,0.0,0.0,0.0,1.153,0.8097501873351165,1.9306409219246168,0.522,0.49004829970901104,0.578670144408069
0.548,0.45932075096518954,0.662464413341199,0.263,0.23325546491617094,0.28810419197208353,29,0.0,0.0,0.0,0.533,0.41964177570765127,0.7669173300586773,0.83,0.7678183099426429,0.890262763481828
