,index,v_level,gamma_level,s_level,tau_level,v_gen,v_gen_actual,gamma_gen,gamma_gen_actual,s_gen,s_gen_actual,tau_gen,tau_gen_actual,v_rec,v_rec_hpd_lower,v_rec_hpd_upper,gamma_rec,gamma_rec_hpd_lower,gamma_rec_hpd_upper,s_rec,s_rec_hpd_lower,s_rec_hpd_upper,tau_rec,tau_rec_hpd_lower,tau_rec_hpd_upper,converged
18,18,low,high,low,low,3.3e-05,3.686182293730332e-05,0.7,0.6871167556376041,0.0067,0.0068395909455196,0.215,0.2650721594808237,3.6929143408784134e-05,3.2876253271254184e-05,4.029294014385282e-05,0.7048807100499332,0.5914355273422469,0.8201645992521485,0.006939719099974684,0.0063270305487627045,0.007617017829585762,0.2034205611028795,0.046501509614267834,0.36312204420003935,True
19,19,low,high,low,medium,3.3e-05,3.1038237690395534e-05,0.7,0.7073454976370857,0.0067,0.0070425786107266766,0.675,0.6541686617445366,3.245258496588117e-05,2.8772110304103845e-05,3.649444166702691e-05,0.7773763582110605,0.6191609903582354,0.9783552128410076,0.0066863582157215655,0.006092411356378669,0.007295190921676055,0.5926199293802903,0.4951188989783805,0.7088994675039051,True
20,20,low,high,low,high,3.3e-05,3.279109441605567e-05,0.7,0.7498796625712444,0.0067,0.006442697505664322,1.135,1.1384691355026442,3.484823760443982e-05,2.9801684538080908e-05,3.938129689060087e-05,0.8061071073741821,0.6716015254692511,0.9584398517101284,0.006406813747498291,0.005762444342249993,0.007031531674814707,1.144207903503847,0.9179774435247569,1.3790546208054928,False
21,21,low,high,medium,low,3.3e-05,3.3232746873924465e-05,0.7,0.7322840748530542,0.0095,0.00943259087898584,0.215,0.29241010342321816,3.492879759490871e-05,3.0440279045564348e-05,3.950411953496568e-05,0.8727131581646407,0.7110488550689241,0.9999873193117086,0.009238439347722515,0.00855119700743085,0.00996230566948555,0.23116954517604066,0.13954470208941688,0.3249602646851188,True
22,22,low,high,medium,medium,3.3e-05,3.3326757479347366e-05,0.7,0.6585268909598071,0.0095,0.009441150254593337,0.675,0.6675321460473018,3.446252928054527e-05,2.980114462252935e-05,3.888304405623884e-05,0.6673797661481775,0.49384667783323793,0.8459807099636176,0.009302154016335941,0.00876488406586471,0.009915885475728137,0.5674511166952252,0.39861393006559215,0.7587170462867994,True
23,23,low,high,medium,high,3.3e-05,3.145259465067454e-05,0.7,0.7104518117579113,0.0095,0.009656564525813462,1.135,1.1868231278068493,3.200058858625152e-05,2.656271065370015e-05,3.6871503497073854e-05,0.7798944961561851,0.6249441952704533,0.9516138612288714,0.009404031824641985,0.008702508634557666,0.01003223166916642,1.152129378786797,0.8528561069033054,1.4842978039145174,True
24,24,low,high,high,low,3.3e-05,3.4695145284720505e-05,0.7,0.7273638581590354,0.0123,0.01254713839106791,0.215,0.23106130869170766,3.874102110349032e-05,3.3542784486707615e-05,4.380789324547608e-05,0.7597722454381859,0.4746603699162275,0.9991928133247736,0.012317622395404593,0.01161771849377042,0.01303341876669765,0.15401884378241712,0.0002089652076564572,0.385329063170666,True
25,25,low,high,high,medium,3.3e-05,3.198166372979344e-05,0.7,0.7343774800382069,0.0123,0.012321976798454915,0.675,0.672878112856244,3.5414555576644243e-05,2.8556981016411988e-05,4.2090548610610416e-05,0.7153868867580062,0.5509537722545446,0.9240519939372388,0.012132332482842524,0.011102125090821015,0.013234499243343769,0.5983934465417319,0.4031025626867845,0.8393803144749903,True
26,26,low,high,high,high,3.3e-05,3.275430154196052e-05,0.7,0.6543261019936746,0.0123,0.012457660949387505,1.135,1.136570130534622,3.376725864675251e-05,2.686017994996698e-05,4.080504240583189e-05,0.7009323295461831,0.5270593293437766,0.8977070832398795,0.012338672922274026,0.011554155161517064,0.013097391429134264,1.206114574845509,0.8109859126326036,1.6283277208374756,True
27,27,medium,low,low,low,8.499999999999999e-05,8.650824286721823e-05,-0.7,-0.6212166423500449,0.0067,0.006814273076041014,0.215,0.20553381051159264,8.889373826221389e-05,8.475951550072733e-05,9.25739007536189e-05,-0.5413639802218253,-0.7329094623159964,-0.3569807059169996,0.006349575051671929,0.00568201944593863,0.0070804521058074905,0.20052355622915416,0.0580079059586413,0.32786000136553634,False
28,28,medium,low,low,medium,8.499999999999999e-05,8.345817336987877e-05,-0.7,-0.6822248257865312,0.0067,0.0067837985054133975,0.675,0.6706467204789535,8.886296114100171e-05,8.372637719275718e-05,9.431128927522376e-05,-0.6297420278139432,-0.6970130182646397,-0.5633954473674248,0.00709831208700929,0.006677820986852665,0.007554765712594737,0.7187091141934013,0.624899049146924,0.8238626910308027,True
29,29,medium,low,low,high,8.499999999999999e-05,8.688783299964422e-05,-0.7,-0.7670314097267557,0.0067,0.006864815641791597,1.135,1.1688054012064248,0.0001017292785823917,9.395062558405196e-05,0.00010897610484298576,-0.6798809461086724,-0.7881013522334417,-0.5767834402046237,0.007497706441011887,0.007014025629762111,0.008026290579720978,0.9883882963123576,0.8370119456018978,1.138044050727926,True
