,index,v_level,gamma_level,s_level,tau_level,v_gen,gamma_gen,s_gen,tau_gen,v_rec,v_rec_hpd_lower,v_rec_hpd_upper,gamma_rec,gamma_rec_hpd_lower,gamma_rec_hpd_upper,s_rec,s_rec_hpd_lower,s_rec_hpd_upper,tau_rec,tau_rec_hpd_lower,tau_rec_hpd_upper,converged
12,12,low,medium,medium,low,2.8499999999999998e-05,5.551115123125783e-17,0.0075,0.215,3.915565547851325e-05,2.594879326983769e-05,5.397320805270792e-05,0.02954926179746427,-0.0746881327888601,0.1364513258432163,0.007338420718149726,0.006738110324225222,0.007893387407593851,0.2765782977763041,0.1972080989297028,0.3671176419042068,
13,13,low,medium,medium,medium,2.8499999999999998e-05,5.551115123125783e-17,0.0075,0.6749999999999999,3.616901470925981e-05,2.6428995116415046e-05,4.725677959917102e-05,0.0071222244630698905,-0.15887689813080752,0.16526396515263775,0.007784164801114412,0.007248238882413172,0.00836690518342711,0.717511128698116,0.6280462544361077,0.8098182198402502,
14,14,low,medium,medium,high,2.8499999999999998e-05,5.551115123125783e-17,0.0075,1.135,4.0684279942859135e-05,2.223104920467097e-05,5.870557939422146e-05,0.01592578369922747,-0.13109335219472273,0.16560627587734467,0.007080280103280276,0.006539531989385248,0.007640224334220889,1.0998958214574786,0.959036343303395,1.2365694801742504,
15,15,low,medium,high,low,2.8499999999999998e-05,5.551115123125783e-17,0.0103,0.215,3.957166227945182e-05,2.7191065517401042e-05,5.4013012490960495e-05,0.027743253921070802,-0.12369934671951632,0.1653302552443605,0.01019872809482414,0.009777329901938815,0.010632356271928212,0.30754719113580337,0.2084199332998316,0.4141413549299342,
16,16,low,medium,high,medium,2.8499999999999998e-05,5.551115123125783e-17,0.0103,0.6749999999999999,3.707396512914726e-05,2.7102190993614522e-05,4.825265554133455e-05,0.03687631664565754,-0.1438741324111621,0.2033594966662604,0.010356613065614044,0.009822200016561795,0.010915034089082813,0.7491880509971399,0.620469925941782,0.8782367937487202,
17,17,low,medium,high,high,2.8499999999999998e-05,5.551115123125783e-17,0.0103,1.135,4.077628689440308e-05,2.469947987052302e-05,5.8184042435277586e-05,0.005605833500407225,-0.15231416664505493,0.1701939292485697,0.009745712404651096,0.009413468777521769,0.010125409293350979,1.1205409797789447,0.9055145852272622,1.3388912209087294,
18,18,low,high,low,low,2.8499999999999998e-05,0.8000000000000004,0.0047,0.215,4.269439127340943e-05,2.4719039958494814e-05,5.859379056894194e-05,0.7558548832790559,0.6796831254997744,0.8301473801996935,0.003954317559579879,0.0032265467883291032,0.004681043559639286,0.23255048525089156,0.1562076303784427,0.3230727590335524,
19,19,low,high,low,medium,2.8499999999999998e-05,0.8000000000000004,0.0047,0.6749999999999999,3.706016202313316e-05,2.626915070756944e-05,4.9564725278900985e-05,0.7316088250695095,0.6345018806164866,0.8336287171788941,0.004348329662352813,0.003612315994743453,0.005216652816632922,0.6656909548144976,0.5719800664807128,0.7735374696032111,
20,20,low,high,low,high,2.8499999999999998e-05,0.8000000000000004,0.0047,1.135,3.919557573384851e-05,2.229689058585416e-05,5.837991764595786e-05,0.7017196005893835,0.5729292838504298,0.8204663767299694,0.004219274356907506,0.003673916765428304,0.004759716774969579,1.0525974428863192,0.9193963345256599,1.1956646809269849,
21,21,low,high,medium,low,2.8499999999999998e-05,0.8000000000000004,0.0075,0.215,3.954992387727951e-05,2.57287190398376e-05,5.488448504759917e-05,0.6618216465438982,0.5447275072721238,0.7759136393351096,0.007175107898715883,0.006375155898433027,0.008029573319222334,0.2536838470142859,0.17197295164830584,0.3325396605394484,
22,22,low,high,medium,medium,2.8499999999999998e-05,0.8000000000000004,0.0075,0.6749999999999999,3.605666427297434e-05,2.7028874832459712e-05,4.7155697106296304e-05,0.7175046651231641,0.6340658213227506,0.7940547997117597,0.007579622376488509,0.006843142375505605,0.008298840285882382,0.7545375437668912,0.6499769983808207,0.8644268953556055,
23,23,low,high,medium,high,2.8499999999999998e-05,0.8000000000000004,0.0075,1.135,3.917914472038592e-05,2.367670996748436e-05,5.687763911229205e-05,0.662244961112996,0.5145443920670343,0.7844568754797512,0.007155087528657681,0.006769698884215606,0.007603365962543784,1.1921177948158053,1.0451893948437256,1.3392883241231308,
24,24,low,high,high,low,2.8499999999999998e-05,0.8000000000000004,0.0103,0.215,4.89254632305349e-05,3.5121995198695376e-05,6.605356822454635e-05,0.3898201565396887,0.21538592179732885,0.5639671555916836,0.010001281837802413,0.00957695269355174,0.010471969778615527,0.19051845631660194,0.14055671562688513,0.2514724289858344,
25,25,low,high,high,medium,2.8499999999999998e-05,0.8000000000000004,0.0103,0.6749999999999999,3.990972350942185e-05,2.7965920034918663e-05,5.474245547764975e-05,0.6804003242754979,0.5823952611819156,0.7777950244297145,0.009986560219204644,0.009697483853102791,0.010277561457800524,0.7335704315782625,0.5819148668196347,0.8912495789433719,
26,26,low,high,high,high,2.8499999999999998e-05,0.8000000000000004,0.0103,1.135,3.753039318099336e-05,2.8333013309097278e-05,4.9098722840614895e-05,0.7578141526818636,0.6628743984975232,0.8382947616314833,0.010078536298522234,0.009611432056918754,0.010531901154053232,1.3596284877986613,1.148038472551964,1.5721716217965125,
27,27,medium,low,low,low,8.249999999999999e-05,-0.8,0.0047,0.215,0.00010103152308904163,7.809210922737447e-05,0.00012426279907085997,-0.6794102971322673,-0.77520181482251,-0.5794841876293091,0.002774667663430385,0.0022304675246214213,0.003285201692174629,0.12173197030024,0.08373096229978744,0.1619408499126624,
28,28,medium,low,low,medium,8.249999999999999e-05,-0.8,0.0047,0.6749999999999999,9.725045304019669e-05,7.198389490875239e-05,0.00012701718169969795,-0.7258634963592944,-0.808525700741503,-0.6396756358661829,0.002844022540672072,0.0021652837604840052,0.003520778722951196,0.4343128757654732,0.36157447742230336,0.5158031845807782,
29,29,medium,low,low,high,8.249999999999999e-05,-0.8,0.0047,1.135,9.584455395135492e-05,7.406725702506685e-05,0.0001174013995834987,-0.5690123668874171,-0.666984654035236,-0.4622572961696769,0.0035783797159132397,0.002552879667348617,0.004563388642262811,0.7491019792960087,0.6246622507841191,0.8818236066168906,
30,30,medium,low,medium,low,8.249999999999999e-05,-0.8,0.0075,0.215,9.850635520596899e-05,7.516523741882715e-05,0.0001226419154314552,-0.6505899380176741,-0.7473315114248391,-0.547020804739393,0.006127113124791691,0.004795899063408896,0.0073252719822630204,0.1419985809221547,0.11204350472615768,0.17582707682162285,
31,31,medium,low,medium,medium,8.249999999999999e-05,-0.8,0.0075,0.6749999999999999,9.990202226052027e-05,7.169726537459723e-05,0.00013182454225102122,-0.7397219149712518,-0.8109095938335543,-0.6618026950825608,0.005431257032325159,0.004125944541302137,0.0066896224121947715,0.4569687566516802,0.34829014709753586,0.5595224488110504,
32,32,medium,low,medium,high,8.249999999999999e-05,-0.8,0.0075,1.135,8.776450543160054e-05,6.872115549278421e-05,0.00010761685547267209,-0.5374240874046359,-0.6190454184655251,-0.4457867074505334,0.007367217861648644,0.0060952615168106536,0.008562106994432463,1.1626173854233603,1.0202767288765129,1.2989035602889851,
33,33,medium,low,high,low,8.249999999999999e-05,-0.8,0.0103,0.215,9.338697564721272e-05,7.234888179330491e-05,0.00011504357635140054,-0.602181270559208,-0.7142794448932579,-0.4831125016954586,0.010053249399138537,0.00965765018357777,0.010443740139814492,0.2061751337424941,0.15605866462603565,0.2587354078901449,
